menu_item,category_item,class_item,,month ,year,month ,year
Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
Grilled Chicken Whopper Burger Small,Whopper Burger,Chicken,,,,,
Grilled Chicken Whopper Burger Medium,Whopper Burger,Chicken,,,,,
Grilled Chicken Whopper Burger Large,Whopper Burger,Chicken,,,,,
Grilled Chicken Whopper Burger Extra Large,Whopper Burger,Chicken,,,,,
Grilled Chicken Whopper Burger King Size,Whopper Burger,Chicken,,,,,
Grilled Chicken Whopper Burger Family Size,Whopper Burger,Chicken,,,,,
4-piece Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
6-piece Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
8-piece Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
10-piece Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
12-piece Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
15-piece Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
20-piece Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
Grilled Chicken Whopper Burger Combo,Whopper Burger,Chicken,,,,,
Grilled Chicken Whopper Burger Value Meal,Whopper Burger,Chicken,,,,,
Grilled Chicken Whopper Burger Deluxe Meal,Whopper Burger,Chicken,,,,,
Grilled Chicken Whopper Burger Family Meal,Whopper Burger,Chicken,,,,,
Grilled Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
Fried Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
Baked Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
Fresh Grilled Chicken Whopper Burger,Whopper Burger,Chicken,,,,,
Grilled Chicken Whopper Burger Extra Crispy,Whopper Burger,Chicken,,,,,
Grilled Chicken Whopper Burger No Mayo,Whopper Burger,Chicken,,,,,
Grilled Chicken Whopper Burger Extra Cheese,Whopper Burger,Chicken,,,,,
Grilled Chicken Whopper Burger Spicy,Whopper Burger,Chicken,,,,,
Grilled Chicken Whopper Burger Mild,Whopper Burger,Chicken,,,,,
Grilled Chicken Whopper Burger BBQ,Whopper Burger,Chicken,,,,,
4-piece Grilled Chicken Whopper Burger Small,Whopper Burger,Chicken,,,,,
6-piece Grilled Chicken Whopper Burger Small,Whopper Burger,Chicken,,,,,
4-piece Grilled Chicken Whopper Burger Medium,Whopper Burger,Chicken,,,,,
6-piece Grilled Chicken Whopper Burger Medium,Whopper Burger,Chicken,,,,,
4-piece Grilled Chicken Whopper Burger Large,Whopper Burger,Chicken,,,,,
6-piece Grilled Chicken Whopper Burger Large,Whopper Burger,Chicken,,,,,
Crispy Royal Chicken,Royal Chicken,Chicken,,,,,
Crispy Royal Chicken Small,Royal Chicken,Chicken,,,,,
Crispy Royal Chicken Medium,Royal Chicken,Chicken,,,,,
Crispy Royal Chicken Large,Royal Chicken,Chicken,,,,,
Crispy Royal Chicken Extra Large,Royal Chicken,Chicken,,,,,
Crispy Royal Chicken King Size,Royal Chicken,Chicken,,,,,
Crispy Royal Chicken Family Size,Royal Chicken,Chicken,,,,,
4-piece Crispy Royal Chicken,Royal Chicken,Chicken,,,,,
6-piece Crispy Royal Chicken,Royal Chicken,Chicken,,,,,
8-piece Crispy Royal Chicken,Royal Chicken,Chicken,,,,,
10-piece Crispy Royal Chicken,Royal Chicken,Chicken,,,,,
12-piece Crispy Royal Chicken,Royal Chicken,Chicken,,,,,
15-piece Crispy Royal Chicken,Royal Chicken,Chicken,,,,,
20-piece Crispy Royal Chicken,Royal Chicken,Chicken,,,,,
Crispy Royal Chicken Combo,Royal Chicken,Chicken,,,,,
Crispy Royal Chicken Value Meal,Royal Chicken,Chicken,,,,,
Crispy Royal Chicken Deluxe Meal,Royal Chicken,Chicken,,,,,
Crispy Royal Chicken Family Meal,Royal Chicken,Chicken,,,,,
Grilled Crispy Royal Chicken,Royal Chicken,Chicken,,,,,
Fried Crispy Royal Chicken,Royal Chicken,Chicken,,,,,
Baked Crispy Royal Chicken,Royal Chicken,Chicken,,,,,
Fresh Crispy Royal Chicken,Royal Chicken,Chicken,,,,,
Crispy Royal Chicken Extra Crispy,Royal Chicken,Chicken,,,,,
Crispy Royal Chicken No Mayo,Royal Chicken,Chicken,,,,,
Crispy Royal Chicken Extra Cheese,Royal Chicken,Chicken,,,,,
Crispy Royal Chicken Spicy,Royal Chicken,Chicken,,,,,
Crispy Royal Chicken Mild,Royal Chicken,Chicken,,,,,
Crispy Royal Chicken BBQ,Royal Chicken,Chicken,,,,,
4-piece Crispy Royal Chicken Small,Royal Chicken,Chicken,,,,,
6-piece Crispy Royal Chicken Small,Royal Chicken,Chicken,,,,,
4-piece Crispy Royal Chicken Medium,Royal Chicken,Chicken,,,,,
6-piece Crispy Royal Chicken Medium,Royal Chicken,Chicken,,,,,
4-piece Crispy Royal Chicken Large,Royal Chicken,Chicken,,,,,
6-piece Crispy Royal Chicken Large,Royal Chicken,Chicken,,,,,
Grilled Royal Chicken,Royal Chicken,Chicken,,,,,
Grilled Royal Chicken Small,Royal Chicken,Chicken,,,,,
Grilled Royal Chicken Medium,Royal Chicken,Chicken,,,,,
Grilled Royal Chicken Large,Royal Chicken,Chicken,,,,,
Grilled Royal Chicken Extra Large,Royal Chicken,Chicken,,,,,
Grilled Royal Chicken King Size,Royal Chicken,Chicken,,,,,
Grilled Royal Chicken Family Size,Royal Chicken,Chicken,,,,,
4-piece Grilled Royal Chicken,Royal Chicken,Chicken,,,,,
6-piece Grilled Royal Chicken,Royal Chicken,Chicken,,,,,
8-piece Grilled Royal Chicken,Royal Chicken,Chicken,,,,,
10-piece Grilled Royal Chicken,Royal Chicken,Chicken,,,,,
12-piece Grilled Royal Chicken,Royal Chicken,Chicken,,,,,
15-piece Grilled Royal Chicken,Royal Chicken,Chicken,,,,,
20-piece Grilled Royal Chicken,Royal Chicken,Chicken,,,,,
Grilled Royal Chicken Combo,Royal Chicken,Chicken,,,,,
Grilled Royal Chicken Value Meal,Royal Chicken,Chicken,,,,,
Grilled Royal Chicken Deluxe Meal,Royal Chicken,Chicken,,,,,
Grilled Royal Chicken Family Meal,Royal Chicken,Chicken,,,,,
Grilled Grilled Royal Chicken,Royal Chicken,Chicken,,,,,
Fried Grilled Royal Chicken,Royal Chicken,Chicken,,,,,
Baked Grilled Royal Chicken,Royal Chicken,Chicken,,,,,
Fresh Grilled Royal Chicken,Royal Chicken,Chicken,,,,,
Grilled Royal Chicken Extra Crispy,Royal Chicken,Chicken,,,,,
Grilled Royal Chicken No Mayo,Royal Chicken,Chicken,,,,,
Grilled Royal Chicken Extra Cheese,Royal Chicken,Chicken,,,,,
Grilled Royal Chicken Spicy,Royal Chicken,Chicken,,,,,
Grilled Royal Chicken Mild,Royal Chicken,Chicken,,,,,
Grilled Royal Chicken BBQ,Royal Chicken,Chicken,,,,,
4-piece Grilled Royal Chicken Small,Royal Chicken,Chicken,,,,,
6-piece Grilled Royal Chicken Small,Royal Chicken,Chicken,,,,,
4-piece Grilled Royal Chicken Medium,Royal Chicken,Chicken,,,,,
6-piece Grilled Royal Chicken Medium,Royal Chicken,Chicken,,,,,
4-piece Grilled Royal Chicken Large,Royal Chicken,Chicken,,,,,
6-piece Grilled Royal Chicken Large,Royal Chicken,Chicken,,,,,
Original Chicken Royale,Chicken Royale,Chicken,,,,,
Original Chicken Royale Small,Chicken Royale,Chicken,,,,,
Original Chicken Royale Medium,Chicken Royale,Chicken,,,,,
Original Chicken Royale Large,Chicken Royale,Chicken,,,,,
Original Chicken Royale Extra Large,Chicken Royale,Chicken,,,,,
Original Chicken Royale King Size,Chicken Royale,Chicken,,,,,
Original Chicken Royale Family Size,Chicken Royale,Chicken,,,,,
4-piece Original Chicken Royale,Chicken Royale,Chicken,,,,,
6-piece Original Chicken Royale,Chicken Royale,Chicken,,,,,
8-piece Original Chicken Royale,Chicken Royale,Chicken,,,,,
10-piece Original Chicken Royale,Chicken Royale,Chicken,,,,,
12-piece Original Chicken Royale,Chicken Royale,Chicken,,,,,
15-piece Original Chicken Royale,Chicken Royale,Chicken,,,,,
20-piece Original Chicken Royale,Chicken Royale,Chicken,,,,,
Original Chicken Royale Combo,Chicken Royale,Chicken,,,,,
Original Chicken Royale Value Meal,Chicken Royale,Chicken,,,,,
Original Chicken Royale Deluxe Meal,Chicken Royale,Chicken,,,,,
Original Chicken Royale Family Meal,Chicken Royale,Chicken,,,,,
Grilled Original Chicken Royale,Chicken Royale,Chicken,,,,,
Fried Original Chicken Royale,Chicken Royale,Chicken,,,,,
Baked Original Chicken Royale,Chicken Royale,Chicken,,,,,
Fresh Original Chicken Royale,Chicken Royale,Chicken,,,,,
Original Chicken Royale Extra Crispy,Chicken Royale,Chicken,,,,,
Original Chicken Royale No Mayo,Chicken Royale,Chicken,,,,,
Original Chicken Royale Extra Cheese,Chicken Royale,Chicken,,,,,
Original Chicken Royale Spicy,Chicken Royale,Chicken,,,,,
Original Chicken Royale Mild,Chicken Royale,Chicken,,,,,
Original Chicken Royale BBQ,Chicken Royale,Chicken,,,,,
4-piece Original Chicken Royale Small,Chicken Royale,Chicken,,,,,
6-piece Original Chicken Royale Small,Chicken Royale,Chicken,,,,,
4-piece Original Chicken Royale Medium,Chicken Royale,Chicken,,,,,
6-piece Original Chicken Royale Medium,Chicken Royale,Chicken,,,,,
4-piece Original Chicken Royale Large,Chicken Royale,Chicken,,,,,
6-piece Original Chicken Royale Large,Chicken Royale,Chicken,,,,,
Spicy Chicken Royale,Chicken Royale,Chicken,,,,,
Spicy Chicken Royale Small,Chicken Royale,Chicken,,,,,
Spicy Chicken Royale Medium,Chicken Royale,Chicken,,,,,
Spicy Chicken Royale Large,Chicken Royale,Chicken,,,,,
Spicy Chicken Royale Extra Large,Chicken Royale,Chicken,,,,,
Spicy Chicken Royale King Size,Chicken Royale,Chicken,,,,,
Spicy Chicken Royale Family Size,Chicken Royale,Chicken,,,,,
4-piece Spicy Chicken Royale,Chicken Royale,Chicken,,,,,
6-piece Spicy Chicken Royale,Chicken Royale,Chicken,,,,,
8-piece Spicy Chicken Royale,Chicken Royale,Chicken,,,,,
10-piece Spicy Chicken Royale,Chicken Royale,Chicken,,,,,
12-piece Spicy Chicken Royale,Chicken Royale,Chicken,,,,,
15-piece Spicy Chicken Royale,Chicken Royale,Chicken,,,,,
20-piece Spicy Chicken Royale,Chicken Royale,Chicken,,,,,
Spicy Chicken Royale Combo,Chicken Royale,Chicken,,,,,
Spicy Chicken Royale Value Meal,Chicken Royale,Chicken,,,,,
Spicy Chicken Royale Deluxe Meal,Chicken Royale,Chicken,,,,,
Spicy Chicken Royale Family Meal,Chicken Royale,Chicken,,,,,
Grilled Spicy Chicken Royale,Chicken Royale,Chicken,,,,,
Fried Spicy Chicken Royale,Chicken Royale,Chicken,,,,,
Baked Spicy Chicken Royale,Chicken Royale,Chicken,,,,,
Fresh Spicy Chicken Royale,Chicken Royale,Chicken,,,,,
Spicy Chicken Royale Extra Crispy,Chicken Royale,Chicken,,,,,
Spicy Chicken Royale No Mayo,Chicken Royale,Chicken,,,,,
Spicy Chicken Royale Extra Cheese,Chicken Royale,Chicken,,,,,
Spicy Chicken Royale Spicy,Chicken Royale,Chicken,,,,,
Spicy Chicken Royale Mild,Chicken Royale,Chicken,,,,,
Spicy Chicken Royale BBQ,Chicken Royale,Chicken,,,,,
4-piece Spicy Chicken Royale Small,Chicken Royale,Chicken,,,,,
6-piece Spicy Chicken Royale Small,Chicken Royale,Chicken,,,,,
4-piece Spicy Chicken Royale Medium,Chicken Royale,Chicken,,,,,
6-piece Spicy Chicken Royale Medium,Chicken Royale,Chicken,,,,,
4-piece Spicy Chicken Royale Large,Chicken Royale,Chicken,,,,,
6-piece Spicy Chicken Royale Large,Chicken Royale,Chicken,,,,,
Original Chicken Fries,Chicken Fries,Chicken,,,,,
Original Chicken Fries Small,Chicken Fries,Chicken,,,,,
Original Chicken Fries Medium,Chicken Fries,Chicken,,,,,
Original Chicken Fries Large,Chicken Fries,Chicken,,,,,
Original Chicken Fries Extra Large,Chicken Fries,Chicken,,,,,
Original Chicken Fries King Size,Chicken Fries,Chicken,,,,,
Original Chicken Fries Family Size,Chicken Fries,Chicken,,,,,
4-piece Original Chicken Fries,Chicken Fries,Chicken,,,,,
6-piece Original Chicken Fries,Chicken Fries,Chicken,,,,,
8-piece Original Chicken Fries,Chicken Fries,Chicken,,,,,
10-piece Original Chicken Fries,Chicken Fries,Chicken,,,,,
12-piece Original Chicken Fries,Chicken Fries,Chicken,,,,,
15-piece Original Chicken Fries,Chicken Fries,Chicken,,,,,
20-piece Original Chicken Fries,Chicken Fries,Chicken,,,,,
Original Chicken Fries Combo,Chicken Fries,Chicken,,,,,
Original Chicken Fries Value Meal,Chicken Fries,Chicken,,,,,
Original Chicken Fries Deluxe Meal,Chicken Fries,Chicken,,,,,
Original Chicken Fries Family Meal,Chicken Fries,Chicken,,,,,
Grilled Original Chicken Fries,Chicken Fries,Chicken,,,,,
Fried Original Chicken Fries,Chicken Fries,Chicken,,,,,
Baked Original Chicken Fries,Chicken Fries,Chicken,,,,,
Fresh Original Chicken Fries,Chicken Fries,Chicken,,,,,
Original Chicken Fries Extra Crispy,Chicken Fries,Chicken,,,,,
Original Chicken Fries No Mayo,Chicken Fries,Chicken,,,,,
Original Chicken Fries Extra Cheese,Chicken Fries,Chicken,,,,,
Original Chicken Fries Spicy,Chicken Fries,Chicken,,,,,
Original Chicken Fries Mild,Chicken Fries,Chicken,,,,,
Original Chicken Fries BBQ,Chicken Fries,Chicken,,,,,
4-piece Original Chicken Fries Small,Chicken Fries,Chicken,,,,,
6-piece Original Chicken Fries Small,Chicken Fries,Chicken,,,,,
4-piece Original Chicken Fries Medium,Chicken Fries,Chicken,,,,,
6-piece Original Chicken Fries Medium,Chicken Fries,Chicken,,,,,
4-piece Original Chicken Fries Large,Chicken Fries,Chicken,,,,,
6-piece Original Chicken Fries Large,Chicken Fries,Chicken,,,,,
Buffalo Chicken Fries,Chicken Fries,Chicken,,,,,
Buffalo Chicken Fries Small,Chicken Fries,Chicken,,,,,
Buffalo Chicken Fries Medium,Chicken Fries,Chicken,,,,,
Buffalo Chicken Fries Large,Chicken Fries,Chicken,,,,,
Buffalo Chicken Fries Extra Large,Chicken Fries,Chicken,,,,,
Buffalo Chicken Fries King Size,Chicken Fries,Chicken,,,,,
Buffalo Chicken Fries Family Size,Chicken Fries,Chicken,,,,,
4-piece Buffalo Chicken Fries,Chicken Fries,Chicken,,,,,
6-piece Buffalo Chicken Fries,Chicken Fries,Chicken,,,,,
8-piece Buffalo Chicken Fries,Chicken Fries,Chicken,,,,,
10-piece Buffalo Chicken Fries,Chicken Fries,Chicken,,,,,
12-piece Buffalo Chicken Fries,Chicken Fries,Chicken,,,,,
15-piece Buffalo Chicken Fries,Chicken Fries,Chicken,,,,,
20-piece Buffalo Chicken Fries,Chicken Fries,Chicken,,,,,
Buffalo Chicken Fries Combo,Chicken Fries,Chicken,,,,,
Buffalo Chicken Fries Value Meal,Chicken Fries,Chicken,,,,,
Buffalo Chicken Fries Deluxe Meal,Chicken Fries,Chicken,,,,,
Buffalo Chicken Fries Family Meal,Chicken Fries,Chicken,,,,,
Grilled Buffalo Chicken Fries,Chicken Fries,Chicken,,,,,
Fried Buffalo Chicken Fries,Chicken Fries,Chicken,,,,,
Baked Buffalo Chicken Fries,Chicken Fries,Chicken,,,,,
Fresh Buffalo Chicken Fries,Chicken Fries,Chicken,,,,,
Buffalo Chicken Fries Extra Crispy,Chicken Fries,Chicken,,,,,
Buffalo Chicken Fries No Mayo,Chicken Fries,Chicken,,,,,
Buffalo Chicken Fries Extra Cheese,Chicken Fries,Chicken,,,,,
Buffalo Chicken Fries Spicy,Chicken Fries,Chicken,,,,,
Buffalo Chicken Fries Mild,Chicken Fries,Chicken,,,,,
Buffalo Chicken Fries BBQ,Chicken Fries,Chicken,,,,,
4-piece Buffalo Chicken Fries Small,Chicken Fries,Chicken,,,,,
6-piece Buffalo Chicken Fries Small,Chicken Fries,Chicken,,,,,
4-piece Buffalo Chicken Fries Medium,Chicken Fries,Chicken,,,,,
6-piece Buffalo Chicken Fries Medium,Chicken Fries,Chicken,,,,,
4-piece Buffalo Chicken Fries Large,Chicken Fries,Chicken,,,,,
6-piece Buffalo Chicken Fries Large,Chicken Fries,Chicken,,,,,
Fiery Chicken Fries,Chicken Fries,Chicken,,,,,
Fiery Chicken Fries Small,Chicken Fries,Chicken,,,,,
Fiery Chicken Fries Medium,Chicken Fries,Chicken,,,,,
Fiery Chicken Fries Large,Chicken Fries,Chicken,,,,,
Fiery Chicken Fries Extra Large,Chicken Fries,Chicken,,,,,
Fiery Chicken Fries King Size,Chicken Fries,Chicken,,,,,
Fiery Chicken Fries Family Size,Chicken Fries,Chicken,,,,,
4-piece Fiery Chicken Fries,Chicken Fries,Chicken,,,,,
6-piece Fiery Chicken Fries,Chicken Fries,Chicken,,,,,
8-piece Fiery Chicken Fries,Chicken Fries,Chicken,,,,,
10-piece Fiery Chicken Fries,Chicken Fries,Chicken,,,,,
12-piece Fiery Chicken Fries,Chicken Fries,Chicken,,,,,
15-piece Fiery Chicken Fries,Chicken Fries,Chicken,,,,,
20-piece Fiery Chicken Fries,Chicken Fries,Chicken,,,,,
Fiery Chicken Fries Combo,Chicken Fries,Chicken,,,,,
Fiery Chicken Fries Value Meal,Chicken Fries,Chicken,,,,,
Fiery Chicken Fries Deluxe Meal,Chicken Fries,Chicken,,,,,
Fiery Chicken Fries Family Meal,Chicken Fries,Chicken,,,,,
Grilled Fiery Chicken Fries,Chicken Fries,Chicken,,,,,
Fried Fiery Chicken Fries,Chicken Fries,Chicken,,,,,
Baked Fiery Chicken Fries,Chicken Fries,Chicken,,,,,
Fresh Fiery Chicken Fries,Chicken Fries,Chicken,,,,,
Fiery Chicken Fries Extra Crispy,Chicken Fries,Chicken,,,,,
Fiery Chicken Fries No Mayo,Chicken Fries,Chicken,,,,,
Fiery Chicken Fries Extra Cheese,Chicken Fries,Chicken,,,,,
Fiery Chicken Fries Spicy,Chicken Fries,Chicken,,,,,
Fiery Chicken Fries Mild,Chicken Fries,Chicken,,,,,
Fiery Chicken Fries BBQ,Chicken Fries,Chicken,,,,,
4-piece Fiery Chicken Fries Small,Chicken Fries,Chicken,,,,,
6-piece Fiery Chicken Fries Small,Chicken Fries,Chicken,,,,,
4-piece Fiery Chicken Fries Medium,Chicken Fries,Chicken,,,,,
6-piece Fiery Chicken Fries Medium,Chicken Fries,Chicken,,,,,
4-piece Fiery Chicken Fries Large,Chicken Fries,Chicken,,,,,
6-piece Fiery Chicken Fries Large,Chicken Fries,Chicken,,,,,
Original Recipe Fried Chicken,Fried Chicken,Chicken,,,,,
Original Recipe Fried Chicken Small,Fried Chicken,Chicken,,,,,
Original Recipe Fried Chicken Medium,Fried Chicken,Chicken,,,,,
Original Recipe Fried Chicken Large,Fried Chicken,Chicken,,,,,
Original Recipe Fried Chicken Extra Large,Fried Chicken,Chicken,,,,,
Original Recipe Fried Chicken King Size,Fried Chicken,Chicken,,,,,
Original Recipe Fried Chicken Family Size,Fried Chicken,Chicken,,,,,
4-piece Original Recipe Fried Chicken,Fried Chicken,Chicken,,,,,
6-piece Original Recipe Fried Chicken,Fried Chicken,Chicken,,,,,
8-piece Original Recipe Fried Chicken,Fried Chicken,Chicken,,,,,
10-piece Original Recipe Fried Chicken,Fried Chicken,Chicken,,,,,
12-piece Original Recipe Fried Chicken,Fried Chicken,Chicken,,,,,
15-piece Original Recipe Fried Chicken,Fried Chicken,Chicken,,,,,
20-piece Original Recipe Fried Chicken,Fried Chicken,Chicken,,,,,
Original Recipe Fried Chicken Combo,Fried Chicken,Chicken,,,,,
Original Recipe Fried Chicken Value Meal,Fried Chicken,Chicken,,,,,
Original Recipe Fried Chicken Deluxe Meal,Fried Chicken,Chicken,,,,,
Original Recipe Fried Chicken Family Meal,Fried Chicken,Chicken,,,,,
Grilled Original Recipe Fried Chicken,Fried Chicken,Chicken,,,,,
Fried Original Recipe Fried Chicken,Fried Chicken,Chicken,,,,,
Baked Original Recipe Fried Chicken,Fried Chicken,Chicken,,,,,
Fresh Original Recipe Fried Chicken,Fried Chicken,Chicken,,,,,
Original Recipe Fried Chicken Extra Crispy,Fried Chicken,Chicken,,,,,
Original Recipe Fried Chicken No Mayo,Fried Chicken,Chicken,,,,,
Original Recipe Fried Chicken Extra Cheese,Fried Chicken,Chicken,,,,,
Original Recipe Fried Chicken Spicy,Fried Chicken,Chicken,,,,,
Original Recipe Fried Chicken Mild,Fried Chicken,Chicken,,,,,
Original Recipe Fried Chicken BBQ,Fried Chicken,Chicken,,,,,
4-piece Original Recipe Fried Chicken Small,Fried Chicken,Chicken,,,,,
6-piece Original Recipe Fried Chicken Small,Fried Chicken,Chicken,,,,,
4-piece Original Recipe Fried Chicken Medium,Fried Chicken,Chicken,,,,,
6-piece Original Recipe Fried Chicken Medium,Fried Chicken,Chicken,,,,,
4-piece Original Recipe Fried Chicken Large,Fried Chicken,Chicken,,,,,
6-piece Original Recipe Fried Chicken Large,Fried Chicken,Chicken,,,,,
Hot & Spicy Fried Chicken,Fried Chicken,Chicken,,,,,
Hot & Spicy Fried Chicken Small,Fried Chicken,Chicken,,,,,
Hot & Spicy Fried Chicken Medium,Fried Chicken,Chicken,,,,,
Hot & Spicy Fried Chicken Large,Fried Chicken,Chicken,,,,,
Hot & Spicy Fried Chicken Extra Large,Fried Chicken,Chicken,,,,,
Hot & Spicy Fried Chicken King Size,Fried Chicken,Chicken,,,,,
Hot & Spicy Fried Chicken Family Size,Fried Chicken,Chicken,,,,,
4-piece Hot & Spicy Fried Chicken,Fried Chicken,Chicken,,,,,
6-piece Hot & Spicy Fried Chicken,Fried Chicken,Chicken,,,,,
8-piece Hot & Spicy Fried Chicken,Fried Chicken,Chicken,,,,,
10-piece Hot & Spicy Fried Chicken,Fried Chicken,Chicken,,,,,
12-piece Hot & Spicy Fried Chicken,Fried Chicken,Chicken,,,,,
15-piece Hot & Spicy Fried Chicken,Fried Chicken,Chicken,,,,,
20-piece Hot & Spicy Fried Chicken,Fried Chicken,Chicken,,,,,
Hot & Spicy Fried Chicken Combo,Fried Chicken,Chicken,,,,,
Hot & Spicy Fried Chicken Value Meal,Fried Chicken,Chicken,,,,,
Hot & Spicy Fried Chicken Deluxe Meal,Fried Chicken,Chicken,,,,,
Hot & Spicy Fried Chicken Family Meal,Fried Chicken,Chicken,,,,,
Grilled Hot & Spicy Fried Chicken,Fried Chicken,Chicken,,,,,
Fried Hot & Spicy Fried Chicken,Fried Chicken,Chicken,,,,,
