menu_item,category_item,class_item,Unnamed: 3,item_id,Unnamed: 5,3NF,menu_item_code,category_item_code,class_item_code,final_unique_code
8-piece Original Chicken Royale,Chicken Royale,Chicken,,,,,8OCR,CR,CH,8OCRCRCH
10-piece Original Chicken Royale,Chicken Royale,Chicken,,,,,1OCR,CR,CH,1OCRCRCH
12-piece Original Chicken Royale,Chicken Royale,Chicken,,,,,1OCR,CR,CH,1OCRCRCH
15-piece Original Chicken Royale,Chicken Royale,Chicken,,,,,1OCR,CR,CH,1OCRCRCH
20-piece Original Chicken Royale,Chicken Royale,Chicken,,,,,2OCR,CR,CH,2OCRCRCH
Original Chicken Royale Combo,Chicken Royale,Chicken,,,,,OCRC,CR,CH,OCRCCRCH
Original Chicken Royale Value Meal,Chicken Royale,Chicken,,,,,OCRVM,CR,CH,OCRVMCRCH
Original Chicken Royale Deluxe Meal,Chicken Royale,Chicken,,,,,OCRDM,CR,CH,OCRDMCRCH
Original Chicken Royale Family Meal,Chicken Royale,Chicken,,,,,OCRFM,CR,CH,OCRFMCRCH
Grilled Original Chicken Royale,Chicken Royale,Chicken,,,,,GOCR,CR,CH,GOCRCRCH
Fried Original Chicken Royale,Chicken Royale,Chicken,,,,,FOCR,CR,CH,FOCRCRCH
Baked Original Chicken Royale,Chicken Royale,Chicken,,,,,BOCR,CR,CH,BOCRCRCH
Fresh Original Chicken Royale,Chicken Royale,Chicken,,,,,FOCR,CR,CH,FOCRCRCH
Original Chicken Royale Extra Crispy,Chicken Royale,Chicken,,,,,OCREC,CR,CH,OCRECCRCH
Original Chicken Royale No Mayo,Chicken Royale,Chicken,,,,,OCRNM,CR,CH,OCRNMCRCH
Original Chicken Royale Extra Cheese,Chicken Royale,Chicken,,,,,OCREC,CR,CH,OCRECCRCH
Original Chicken Royale Spicy,Chicken Royale,Chicken,,,,,OCRS,CR,CH,OCRSCRCH
Original Chicken Royale Mild,Chicken Royale,Chicken,,,,,OCRM,CR,CH,OCRMCRCH
Original Chicken Royale BBQ,Chicken Royale,Chicken,,,,,OCRB,CR,CH,OCRBCRCH
4-piece Original Chicken Royale Small,Chicken Royale,Chicken,,,,,4OCRS,CR,CH,4OCRSCRCH
6-piece Original Chicken Royale Small,Chicken Royale,Chicken,,,,,6OCRS,CR,CH,6OCRSCRCH
4-piece Original Chicken Royale Medium,Chicken Royale,Chicken,,,,,4OCRM,CR,CH,4OCRMCRCH
6-piece Original Chicken Royale Medium,Chicken Royale,Chicken,,,,,6OCRM,CR,CH,6OCRMCRCH
4-piece Original Chicken Royale Large,Chicken Royale,Chicken,,,,,4OCRL,CR,CH,4OCRLCRCH
6-piece Original Chicken Royale Large,Chicken Royale,Chicken,,,,,6OCRL,CR,CH,6OCRLCRCH
Spicy Chicken Royale,Chicken Royale,Chicken,,,,,SCR,CR,CH,SCRCRCH
Spicy Chicken Royale Small,Chicken Royale,Chicken,,,,,SCRS,CR,CH,SCRSCRCH
Spicy Chicken Royale Medium,Chicken Royale,Chicken,,,,,SCRM,CR,CH,SCRMCRCH
Spicy Chicken Royale Large,Chicken Royale,Chicken,,,,,SCRL,CR,CH,SCRLCRCH
Spicy Chicken Royale Extra Large,Chicken Royale,Chicken,,,,,SCREL,CR,CH,SCRELCRCH
Spicy Chicken Royale King Size,Chicken Royale,Chicken,,,,,SCRKS,CR,CH,SCRKSCRCH
Spicy Chicken Royale Family Size,Chicken Royale,Chicken,,,,,SCRFS,CR,CH,SCRFSCRCH
4-piece Spicy Chicken Royale,Chicken Royale,Chicken,,,,,4SCR,CR,CH,4SCRCRCH
6-piece Spicy Chicken Royale,Chicken Royale,Chicken,,,,,6SCR,CR,CH,6SCRCRCH
8-piece Spicy Chicken Royale,Chicken Royale,Chicken,,,,,8SCR,CR,CH,8SCRCRCH
10-piece Spicy Chicken Royale,Chicken Royale,Chicken,,,,,1SCR,CR,CH,1SCRCRCH
12-piece Spicy Chicken Royale,Chicken Royale,Chicken,,,,,1SCR,CR,CH,1SCRCRCH
15-piece Spicy Chicken Royale,Chicken Royale,Chicken,,,,,1SCR,CR,CH,1SCRCRCH
20-piece Spicy Chicken Royale,Chicken Royale,Chicken,,,,,2SCR,CR,CH,2SCRCRCH
Spicy Chicken Royale Combo,Chicken Royale,Chicken,,,,,SCRC,CR,CH,SCRCCRCH
Spicy Chicken Royale Value Meal,Chicken Royale,Chicken,,,,,SCRVM,CR,CH,SCRVMCRCH
Spicy Chicken Royale Deluxe Meal,Chicken Royale,Chicken,,,,,SCRDM,CR,CH,SCRDMCRCH
Spicy Chicken Royale Family Meal,Chicken Royale,Chicken,,,,,SCRFM,CR,CH,SCRFMCRCH
Grilled Spicy Chicken Royale,Chicken Royale,Chicken,,,,,GSCR,CR,CH,GSCRCRCH
Fried Spicy Chicken Royale,Chicken Royale,Chicken,,,,,FSCR,CR,CH,FSCRCRCH
Baked Spicy Chicken Royale,Chicken Royale,Chicken,,,,,BSCR,CR,CH,BSCRCRCH
Fresh Spicy Chicken Royale,Chicken Royale,Chicken,,,,,FSCR,CR,CH,FSCRCRCH
Spicy Chicken Royale Extra Crispy,Chicken Royale,Chicken,,,,,SCREC,CR,CH,SCRECCRCH
Spicy Chicken Royale No Mayo,Chicken Royale,Chicken,,,,,SCRNM,CR,CH,SCRNMCRCH
Spicy Chicken Royale Extra Cheese,Chicken Royale,Chicken,,,,,SCREC,CR,CH,SCRECCRCH
Spicy Chicken Royale Spicy,Chicken Royale,Chicken,,,,,SCRS,CR,CH,SCRSCRCH
Spicy Chicken Royale Mild,Chicken Royale,Chicken,,,,,SCRM,CR,CH,SCRMCRCH
Spicy Chicken Royale BBQ,Chicken Royale,Chicken,,,,,SCRB,CR,CH,SCRBCRCH
4-piece Spicy Chicken Royale Small,Chicken Royale,Chicken,,,,,4SCRS,CR,CH,4SCRSCRCH
6-piece Spicy Chicken Royale Small,Chicken Royale,Chicken,,,,,6SCRS,CR,CH,6SCRSCRCH
4-piece Spicy Chicken Royale Medium,Chicken Royale,Chicken,,,,,4SCRM,CR,CH,4SCRMCRCH
6-piece Spicy Chicken Royale Medium,Chicken Royale,Chicken,,,,,6SCRM,CR,CH,6SCRMCRCH
4-piece Spicy Chicken Royale Large,Chicken Royale,Chicken,,,,,4SCRL,CR,CH,4SCRLCRCH
6-piece Spicy Chicken Royale Large,Chicken Royale,Chicken,,,,,6SCRL,CR,CH,6SCRLCRCH
Original Chicken Fries,Chicken Fries,Chicken,,,,,OCF,CF,CH,OCFCFCH
Original Chicken Fries Small,Chicken Fries,Chicken,,,,,OCFS,CF,CH,OCFSCFCH
Original Chicken Fries Medium,Chicken Fries,Chicken,,,,,OCFM,CF,CH,OCFMCFCH
Original Chicken Fries Large,Chicken Fries,Chicken,,,,,OCFL,CF,CH,OCFLCFCH
Original Chicken Fries Extra Large,Chicken Fries,Chicken,,,,,OCFEL,CF,CH,OCFELCFCH
Original Chicken Fries King Size,Chicken Fries,Chicken,,,,,OCFKS,CF,CH,OCFKSCFCH
Original Chicken Fries Family Size,Chicken Fries,Chicken,,,,,OCFFS,CF,CH,OCFFSCFCH
4-piece Original Chicken Fries,Chicken Fries,Chicken,,,,,4OCF,CF,CH,4OCFCFCH
6-piece Original Chicken Fries,Chicken Fries,Chicken,,,,,6OCF,CF,CH,6OCFCFCH
