menu_item,category_item,class_item,month,year,month,year
Crispy Chicken Whopper Burger Family Meal,Whopper Burger,Chicken,1,2010,2,2010
Grilled Crispy Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
Fried Crispy Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
Baked Crispy Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
Fresh Crispy Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
Crispy Chicken Whopper Burger Extra Crispy,Whopper Burger,Chicken,1,2010,2,2010
Crispy Chicken Whopper Burger No Mayo,Whopper Burger,Chicken,1,2010,2,2010
Crispy Chicken Whopper Burger Extra Cheese,Whopper Burger,Chicken,1,2010,2,2010
Crispy Chicken Whopper Burger Spicy,Whopper Burger,Chicken,1,2010,2,2010
Crispy Chicken Whopper Burger Mild,Whopper Burger,Chicken,1,2010,2,2010
Crispy Chicken Whopper Burger BBQ,Whopper Burger,Chicken,1,2010,2,2010
4-piece Crispy Chicken Whopper Burger Small,Whopper Burger,Chicken,1,2010,2,2010
6-piece Crispy Chicken Whopper Burger Small,Whopper Burger,Chicken,1,2010,2,2010
4-piece Crispy Chicken Whopper Burger Medium,Whopper Burger,Chicken,1,2010,2,2010
6-piece Crispy Chicken Whopper Burger Medium,Whopper Burger,Chicken,1,2010,2,2010
4-piece Crispy Chicken Whopper Burger Large,Whopper Burger,Chicken,1,2010,2,2010
6-piece Crispy Chicken Whopper Burger Large,Whopper Burger,Chicken,1,2010,2,2010
Grilled Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
Grilled Chicken Whopper Burger Small,Whopper Burger,Chicken,1,2010,2,2010
Grilled Chicken Whopper Burger Medium,Whopper Burger,Chicken,1,2010,2,2010
Grilled Chicken Whopper Burger Large,Whopper Burger,Chicken,1,2010,2,2010
Grilled Chicken Whopper Burger Extra Large,Whopper Burger,Chicken,1,2010,2,2010
Grilled Chicken Whopper Burger King Size,Whopper Burger,Chicken,1,2010,2,2010
Grilled Chicken Whopper Burger Family Size,Whopper Burger,Chicken,1,2010,2,2010
4-piece Grilled Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
6-piece Grilled Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
8-piece Grilled Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
10-piece Grilled Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
12-piece Grilled Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
15-piece Grilled Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
20-piece Grilled Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
Grilled Chicken Whopper Burger Combo,Whopper Burger,Chicken,1,2010,2,2010
Grilled Chicken Whopper Burger Value Meal,Whopper Burger,Chicken,1,2010,2,2010
Grilled Chicken Whopper Burger Deluxe Meal,Whopper Burger,Chicken,1,2010,2,2010
Grilled Chicken Whopper Burger Family Meal,Whopper Burger,Chicken,1,2010,2,2010
Grilled Grilled Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
Fried Grilled Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
Baked Grilled Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
Fresh Grilled Chicken Whopper Burger,Whopper Burger,Chicken,1,2010,2,2010
Grilled Chicken Whopper Burger Extra Crispy,Whopper Burger,Chicken,1,2010,2,2010
Grilled Chicken Whopper Burger No Mayo,Whopper Burger,Chicken,1,2010,2,2010
Grilled Chicken Whopper Burger Extra Cheese,Whopper Burger,Chicken,1,2010,2,2010
Grilled Chicken Whopper Burger Spicy,Whopper Burger,Chicken,1,2010,2,2010
Grilled Chicken Whopper Burger Mild,Whopper Burger,Chicken,1,2010,2,2010
Grilled Chicken Whopper Burger BBQ,Whopper Burger,Chicken,1,2010,2,2010
4-piece Grilled Chicken Whopper Burger Small,Whopper Burger,Chicken,1,2010,2,2010
6-piece Grilled Chicken Whopper Burger Small,Whopper Burger,Chicken,1,2010,2,2010
4-piece Grilled Chicken Whopper Burger Medium,Whopper Burger,Chicken,1,2010,2,2010
6-piece Grilled Chicken Whopper Burger Medium,Whopper Burger,Chicken,1,2010,2,2010
4-piece Grilled Chicken Whopper Burger Large,Whopper Burger,Chicken,1,2010,2,2010
6-piece Grilled Chicken Whopper Burger Large,Whopper Burger,Chicken,1,2010,2,2010
Crispy Royal Chicken,Royal Chicken,Chicken,1,2010,2,2010
Crispy Royal Chicken Small,Royal Chicken,Chicken,1,2010,2,2010
Crispy Royal Chicken Medium,Royal Chicken,Chicken,1,2010,2,2010
Crispy Royal Chicken Large,Royal Chicken,Chicken,1,2010,2,2010
Crispy Royal Chicken Extra Large,Royal Chicken,Chicken,1,2010,2,2010
Crispy Royal Chicken King Size,Royal Chicken,Chicken,1,2010,2,2010
Crispy Royal Chicken Family Size,Royal Chicken,Chicken,1,2010,2,2010
4-piece Crispy Royal Chicken,Royal Chicken,Chicken,1,2010,2,2010
6-piece Crispy Royal Chicken,Royal Chicken,Chicken,1,2010,2,2010
8-piece Crispy Royal Chicken,Royal Chicken,Chicken,1,2010,2,2010
10-piece Crispy Royal Chicken,Royal Chicken,Chicken,1,2010,2,2010
12-piece Crispy Royal Chicken,Royal Chicken,Chicken,1,2010,2,2010
15-piece Crispy Royal Chicken,Royal Chicken,Chicken,1,2010,2,2010
20-piece Crispy Royal Chicken,Royal Chicken,Chicken,1,2010,2,2010
Crispy Royal Chicken Combo,Royal Chicken,Chicken,1,2010,2,2010
Crispy Royal Chicken Value Meal,Royal Chicken,Chicken,1,2010,2,2010
Crispy Royal Chicken Deluxe Meal,Royal Chicken,Chicken,1,2010,2,2010
Crispy Royal Chicken Family Meal,Royal Chicken,Chicken,1,2010,2,2010
Grilled Crispy Royal Chicken,Royal Chicken,Chicken,1,2010,2,2010
Fried Crispy Royal Chicken,Royal Chicken,Chicken,1,2010,2,2010
Baked Crispy Royal Chicken,Royal Chicken,Chicken,1,2010,2,2010
Fresh Crispy Royal Chicken,Royal Chicken,Chicken,1,2010,2,2010
Crispy Royal Chicken Extra Crispy,Royal Chicken,Chicken,1,2010,2,2010
Crispy Royal Chicken No Mayo,Royal Chicken,Chicken,1,2010,2,2010
Crispy Royal Chicken Extra Cheese,Royal Chicken,Chicken,1,2010,2,2010
Crispy Royal Chicken Spicy,Royal Chicken,Chicken,1,2010,2,2010
Crispy Royal Chicken Mild,Royal Chicken,Chicken,1,2010,2,2010
Crispy Royal Chicken BBQ,Royal Chicken,Chicken,1,2010,2,2010
4-piece Crispy Royal Chicken Small,Royal Chicken,Chicken,1,2010,2,2010
6-piece Crispy Royal Chicken Small,Royal Chicken,Chicken,1,2010,2,2010
4-piece Crispy Royal Chicken Medium,Royal Chicken,Chicken,1,2010,2,2010
6-piece Crispy Royal Chicken Medium,Royal Chicken,Chicken,1,2010,2,2010
4-piece Crispy Royal Chicken Large,Royal Chicken,Chicken,1,2010,2,2010
6-piece Crispy Royal Chicken Large,Royal Chicken,Chicken,1,2010,2,2010
Grilled Royal Chicken,Royal Chicken,Chicken,1,2010,2,2010
Grilled Royal Chicken Small,Royal Chicken,Chicken,1,2010,2,2010
Grilled Royal Chicken Medium,Royal Chicken,Chicken,1,2010,2,2010
Grilled Royal Chicken Large,Royal Chicken,Chicken,1,2010,2,2010
Grilled Royal Chicken Extra Large,Royal Chicken,Chicken,1,2010,2,2010
Grilled Royal Chicken King Size,Royal Chicken,Chicken,1,2010,2,2010
Grilled Royal Chicken Family Size,Royal Chicken,Chicken,1,2010,2,2010
4-piece Grilled Royal Chicken,Royal Chicken,Chicken,1,2010,2,2010
6-piece Grilled Royal Chicken,Royal Chicken,Chicken,1,2010,2,2010
8-piece Grilled Royal Chicken,Royal Chicken,Chicken,1,2010,2,2010
10-piece Grilled Royal Chicken,Royal Chicken,Chicken,1,2010,2,2010
12-piece Grilled Royal Chicken,Royal Chicken,Chicken,1,2010,2,2010
15-piece Grilled Royal Chicken,Royal Chicken,Chicken,1,2010,2,2010
20-piece Grilled Royal Chicken,Royal Chicken,Chicken,1,2010,2,2010
Grilled Royal Chicken Combo,Royal Chicken,Chicken,1,2010,2,2010
Grilled Royal Chicken Value Meal,Royal Chicken,Chicken,1,2010,2,2010
Grilled Royal Chicken Deluxe Meal,Royal Chicken,Chicken,1,2010,2,2010
Grilled Royal Chicken Family Meal,Royal Chicken,Chicken,1,2010,2,2010
Grilled Grilled Royal Chicken,Royal Chicken,Chicken,1,2010,2,2010
Fried Grilled Royal Chicken,Royal Chicken,Chicken,1,2010,2,2010
Baked Grilled Royal Chicken,Royal Chicken,Chicken,1,2010,2,2010
Fresh Grilled Royal Chicken,Royal Chicken,Chicken,1,2010,2,2010
Grilled Royal Chicken Extra Crispy,Royal Chicken,Chicken,1,2010,2,2010
Grilled Royal Chicken No Mayo,Royal Chicken,Chicken,1,2010,2,2010
Grilled Royal Chicken Extra Cheese,Royal Chicken,Chicken,1,2010,2,2010
Grilled Royal Chicken Spicy,Royal Chicken,Chicken,1,2010,2,2010
Grilled Royal Chicken Mild,Royal Chicken,Chicken,1,2010,2,2010
Grilled Royal Chicken BBQ,Royal Chicken,Chicken,1,2010,2,2010
4-piece Grilled Royal Chicken Small,Royal Chicken,Chicken,1,2010,2,2010
6-piece Grilled Royal Chicken Small,Royal Chicken,Chicken,1,2010,2,2010
4-piece Grilled Royal Chicken Medium,Royal Chicken,Chicken,1,2010,2,2010
6-piece Grilled Royal Chicken Medium,Royal Chicken,Chicken,1,2010,2,2010
4-piece Grilled Royal Chicken Large,Royal Chicken,Chicken,1,2010,2,2010
6-piece Grilled Royal Chicken Large,Royal Chicken,Chicken,1,2010,2,2010
Original Chicken Royale,Chicken Royale,Chicken,1,2010,2,2010
Original Chicken Royale Small,Chicken Royale,Chicken,1,2010,2,2010
Original Chicken Royale Medium,Chicken Royale,Chicken,1,2010,2,2010
Original Chicken Royale Large,Chicken Royale,Chicken,1,2010,2,2010
Original Chicken Royale Extra Large,Chicken Royale,Chicken,1,2010,2,2010
Original Chicken Royale King Size,Chicken Royale,Chicken,1,2010,2,2010
Original Chicken Royale Family Size,Chicken Royale,Chicken,1,2010,2,2010
4-piece Original Chicken Royale,Chicken Royale,Chicken,1,2010,2,2010
6-piece Original Chicken Royale,Chicken Royale,Chicken,1,2010,2,2010
8-piece Original Chicken Royale,Chicken Royale,Chicken,1,2010,2,2010
10-piece Original Chicken Royale,Chicken Royale,Chicken,1,2010,2,2010
12-piece Original Chicken Royale,Chicken Royale,Chicken,1,2010,2,2010
15-piece Original Chicken Royale,Chicken Royale,Chicken,1,2010,2,2010
20-piece Original Chicken Royale,Chicken Royale,Chicken,1,2010,2,2010
Original Chicken Royale Combo,Chicken Royale,Chicken,1,2010,2,2010
Original Chicken Royale Value Meal,Chicken Royale,Chicken,1,2010,2,2010
Original Chicken Royale Deluxe Meal,Chicken Royale,Chicken,1,2010,2,2010
Original Chicken Royale Family Meal,Chicken Royale,Chicken,1,2010,2,2010
Grilled Original Chicken Royale,Chicken Royale,Chicken,1,2010,2,2010
Fried Original Chicken Royale,Chicken Royale,Chicken,1,2010,2,2010
Baked Original Chicken Royale,Chicken Royale,Chicken,1,2010,2,2010
Fresh Original Chicken Royale,Chicken Royale,Chicken,1,2010,2,2010
Original Chicken Royale Extra Crispy,Chicken Royale,Chicken,1,2010,2,2010
Original Chicken Royale No Mayo,Chicken Royale,Chicken,1,2010,2,2010
Original Chicken Royale Extra Cheese,Chicken Royale,Chicken,1,2010,2,2010
Original Chicken Royale Spicy,Chicken Royale,Chicken,1,2010,2,2010
Original Chicken Royale Mild,Chicken Royale,Chicken,1,2010,2,2010
Original Chicken Royale BBQ,Chicken Royale,Chicken,1,2010,2,2010
4-piece Original Chicken Royale Small,Chicken Royale,Chicken,1,2010,2,2010
6-piece Original Chicken Royale Small,Chicken Royale,Chicken,1,2010,2,2010
4-piece Original Chicken Royale Medium,Chicken Royale,Chicken,1,2010,2,2010
6-piece Original Chicken Royale Medium,Chicken Royale,Chicken,1,2010,2,2010
4-piece Original Chicken Royale Large,Chicken Royale,Chicken,1,2010,2,2010
6-piece Original Chicken Royale Large,Chicken Royale,Chicken,1,2010,2,2010
Spicy Chicken Royale,Chicken Royale,Chicken,1,2010,2,2010
Spicy Chicken Royale Small,Chicken Royale,Chicken,1,2010,2,2010
Spicy Chicken Royale Medium,Chicken Royale,Chicken,1,2010,2,2010
Spicy Chicken Royale Large,Chicken Royale,Chicken,1,2010,2,2010
Spicy Chicken Royale Extra Large,Chicken Royale,Chicken,1,2010,2,2010
Spicy Chicken Royale King Size,Chicken Royale,Chicken,1,2010,2,2010
Spicy Chicken Royale Family Size,Chicken Royale,Chicken,1,2010,2,2010
4-piece Spicy Chicken Royale,Chicken Royale,Chicken,1,2010,2,2010
6-piece Spicy Chicken Royale,Chicken Royale,Chicken,1,2010,2,2010
8-piece Spicy Chicken Royale,Chicken Royale,Chicken,1,2010,2,2010
10-piece Spicy Chicken Royale,Chicken Royale,Chicken,1,2010,2,2010
12-piece Spicy Chicken Royale,Chicken Royale,Chicken,1,2010,2,2010
15-piece Spicy Chicken Royale,Chicken Royale,Chicken,1,2010,2,2010
20-piece Spicy Chicken Royale,Chicken Royale,Chicken,1,2010,2,2010
Spicy Chicken Royale Combo,Chicken Royale,Chicken,1,2010,2,2010
Spicy Chicken Royale Value Meal,Chicken Royale,Chicken,1,2010,2,2010
Spicy Chicken Royale Deluxe Meal,Chicken Royale,Chicken,1,2010,2,2010
Spicy Chicken Royale Family Meal,Chicken Royale,Chicken,1,2010,2,2010
Grilled Spicy Chicken Royale,Chicken Royale,Chicken,1,2010,2,2010
Fried Spicy Chicken Royale,Chicken Royale,Chicken,1,2010,2,2010
Baked Spicy Chicken Royale,Chicken Royale,Chicken,1,2010,2,2010
Fresh Spicy Chicken Royale,Chicken Royale,Chicken,1,2010,2,2010
Spicy Chicken Royale Extra Crispy,Chicken Royale,Chicken,1,2010,2,2010
Spicy Chicken Royale No Mayo,Chicken Royale,Chicken,1,2010,2,2010
Spicy Chicken Royale Extra Cheese,Chicken Royale,Chicken,1,2010,2,2010
Spicy Chicken Royale Spicy,Chicken Royale,Chicken,1,2010,2,2010
Spicy Chicken Royale Mild,Chicken Royale,Chicken,1,2010,2,2010
Spicy Chicken Royale BBQ,Chicken Royale,Chicken,1,2010,2,2010
4-piece Spicy Chicken Royale Small,Chicken Royale,Chicken,1,2010,2,2010
6-piece Spicy Chicken Royale Small,Chicken Royale,Chicken,1,2010,2,2010
4-piece Spicy Chicken Royale Medium,Chicken Royale,Chicken,1,2010,2,2010
6-piece Spicy Chicken Royale Medium,Chicken Royale,Chicken,1,2010,2,2010
4-piece Spicy Chicken Royale Large,Chicken Royale,Chicken,1,2010,2,2010
6-piece Spicy Chicken Royale Large,Chicken Royale,Chicken,1,2010,2,2010
Original Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
Original Chicken Fries Small,Chicken Fries,Chicken,1,2010,2,2010
Original Chicken Fries Medium,Chicken Fries,Chicken,1,2010,2,2010
Original Chicken Fries Large,Chicken Fries,Chicken,1,2010,2,2010
Original Chicken Fries Extra Large,Chicken Fries,Chicken,1,2010,2,2010
Original Chicken Fries King Size,Chicken Fries,Chicken,1,2010,2,2010
Original Chicken Fries Family Size,Chicken Fries,Chicken,1,2010,2,2010
4-piece Original Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
6-piece Original Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
8-piece Original Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
10-piece Original Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
12-piece Original Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
15-piece Original Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
20-piece Original Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
Original Chicken Fries Combo,Chicken Fries,Chicken,1,2010,2,2010
Original Chicken Fries Value Meal,Chicken Fries,Chicken,1,2010,2,2010
Original Chicken Fries Deluxe Meal,Chicken Fries,Chicken,1,2010,2,2010
Original Chicken Fries Family Meal,Chicken Fries,Chicken,1,2010,2,2010
Grilled Original Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
Fried Original Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
Baked Original Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
Fresh Original Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
Original Chicken Fries Extra Crispy,Chicken Fries,Chicken,1,2010,2,2010
Original Chicken Fries No Mayo,Chicken Fries,Chicken,1,2010,2,2010
Original Chicken Fries Extra Cheese,Chicken Fries,Chicken,1,2010,2,2010
Original Chicken Fries Spicy,Chicken Fries,Chicken,1,2010,2,2010
Original Chicken Fries Mild,Chicken Fries,Chicken,1,2010,2,2010
Original Chicken Fries BBQ,Chicken Fries,Chicken,1,2010,2,2010
4-piece Original Chicken Fries Small,Chicken Fries,Chicken,1,2010,2,2010
6-piece Original Chicken Fries Small,Chicken Fries,Chicken,1,2010,2,2010
4-piece Original Chicken Fries Medium,Chicken Fries,Chicken,1,2010,2,2010
6-piece Original Chicken Fries Medium,Chicken Fries,Chicken,1,2010,2,2010
4-piece Original Chicken Fries Large,Chicken Fries,Chicken,1,2010,2,2010
6-piece Original Chicken Fries Large,Chicken Fries,Chicken,1,2010,2,2010
Buffalo Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
Buffalo Chicken Fries Small,Chicken Fries,Chicken,1,2010,2,2010
Buffalo Chicken Fries Medium,Chicken Fries,Chicken,1,2010,2,2010
Buffalo Chicken Fries Large,Chicken Fries,Chicken,1,2010,2,2010
Buffalo Chicken Fries Extra Large,Chicken Fries,Chicken,1,2010,2,2010
Buffalo Chicken Fries King Size,Chicken Fries,Chicken,1,2010,2,2010
Buffalo Chicken Fries Family Size,Chicken Fries,Chicken,1,2010,2,2010
4-piece Buffalo Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
6-piece Buffalo Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
8-piece Buffalo Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
10-piece Buffalo Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
12-piece Buffalo Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
15-piece Buffalo Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
20-piece Buffalo Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
Buffalo Chicken Fries Combo,Chicken Fries,Chicken,1,2010,2,2010
Buffalo Chicken Fries Value Meal,Chicken Fries,Chicken,1,2010,2,2010
Buffalo Chicken Fries Deluxe Meal,Chicken Fries,Chicken,1,2010,2,2010
Buffalo Chicken Fries Family Meal,Chicken Fries,Chicken,1,2010,2,2010
Grilled Buffalo Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
Fried Buffalo Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
Baked Buffalo Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
Fresh Buffalo Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
Buffalo Chicken Fries Extra Crispy,Chicken Fries,Chicken,1,2010,2,2010
Buffalo Chicken Fries No Mayo,Chicken Fries,Chicken,1,2010,2,2010
Buffalo Chicken Fries Extra Cheese,Chicken Fries,Chicken,1,2010,2,2010
Buffalo Chicken Fries Spicy,Chicken Fries,Chicken,1,2010,2,2010
Buffalo Chicken Fries Mild,Chicken Fries,Chicken,1,2010,2,2010
Buffalo Chicken Fries BBQ,Chicken Fries,Chicken,1,2010,2,2010
4-piece Buffalo Chicken Fries Small,Chicken Fries,Chicken,1,2010,2,2010
6-piece Buffalo Chicken Fries Small,Chicken Fries,Chicken,1,2010,2,2010
4-piece Buffalo Chicken Fries Medium,Chicken Fries,Chicken,1,2010,2,2010
6-piece Buffalo Chicken Fries Medium,Chicken Fries,Chicken,1,2010,2,2010
4-piece Buffalo Chicken Fries Large,Chicken Fries,Chicken,1,2010,2,2010
6-piece Buffalo Chicken Fries Large,Chicken Fries,Chicken,1,2010,2,2010
Fiery Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
Fiery Chicken Fries Small,Chicken Fries,Chicken,1,2010,2,2010
Fiery Chicken Fries Medium,Chicken Fries,Chicken,1,2010,2,2010
Fiery Chicken Fries Large,Chicken Fries,Chicken,1,2010,2,2010
Fiery Chicken Fries Extra Large,Chicken Fries,Chicken,1,2010,2,2010
Fiery Chicken Fries King Size,Chicken Fries,Chicken,1,2010,2,2010
Fiery Chicken Fries Family Size,Chicken Fries,Chicken,1,2010,2,2010
4-piece Fiery Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
6-piece Fiery Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
8-piece Fiery Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
10-piece Fiery Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
12-piece Fiery Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
15-piece Fiery Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
20-piece Fiery Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
Fiery Chicken Fries Combo,Chicken Fries,Chicken,1,2010,2,2010
Fiery Chicken Fries Value Meal,Chicken Fries,Chicken,1,2010,2,2010
Fiery Chicken Fries Deluxe Meal,Chicken Fries,Chicken,1,2010,2,2010
Fiery Chicken Fries Family Meal,Chicken Fries,Chicken,1,2010,2,2010
Grilled Fiery Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
Fried Fiery Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
Baked Fiery Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
Fresh Fiery Chicken Fries,Chicken Fries,Chicken,1,2010,2,2010
Fiery Chicken Fries Extra Crispy,Chicken Fries,Chicken,1,2010,2,2010
Fiery Chicken Fries No Mayo,Chicken Fries,Chicken,1,2010,2,2010
Fiery Chicken Fries Extra Cheese,Chicken Fries,Chicken,1,2010,2,2010
Fiery Chicken Fries Spicy,Chicken Fries,Chicken,1,2010,2,2010
Fiery Chicken Fries Mild,Chicken Fries,Chicken,1,2010,2,2010
Fiery Chicken Fries BBQ,Chicken Fries,Chicken,1,2010,2,2010
4-piece Fiery Chicken Fries Small,Chicken Fries,Chicken,1,2010,2,2010
6-piece Fiery Chicken Fries Small,Chicken Fries,Chicken,1,2010,2,2010
4-piece Fiery Chicken Fries Medium,Chicken Fries,Chicken,1,2010,2,2010
6-piece Fiery Chicken Fries Medium,Chicken Fries,Chicken,1,2010,2,2010
4-piece Fiery Chicken Fries Large,Chicken Fries,Chicken,1,2010,2,2010
6-piece Fiery Chicken Fries Large,Chicken Fries,Chicken,1,2010,2,2010
Original Recipe Fried Chicken,Fried Chicken,Chicken,1,2010,2,2010
Original Recipe Fried Chicken Small,Fried Chicken,Chicken,1,2010,2,2010
Original Recipe Fried Chicken Medium,Fried Chicken,Chicken,1,2010,2,2010
Original Recipe Fried Chicken Large,Fried Chicken,Chicken,1,2010,2,2010
Original Recipe Fried Chicken Extra Large,Fried Chicken,Chicken,1,2010,2,2010
Original Recipe Fried Chicken King Size,Fried Chicken,Chicken,1,2010,2,2010
Original Recipe Fried Chicken Family Size,Fried Chicken,Chicken,1,2010,2,2010
4-piece Original Recipe Fried Chicken,Fried Chicken,Chicken,1,2010,2,2010
