menu_item,category_item,class_item,Unnamed: 3,item_id,Unnamed: 5,3NF,menu_item_code,category_item_code,class_item_code
Grilled Royal Chicken Extra Cheese,Royal Chicken,Chicken,,,,,GRCEC,RC,C
Grilled Royal Chicken Spicy,Royal Chicken,Chicken,,,,,GRCS,RC,C
Grilled Royal Chicken Mild,Royal Chicken,Chicken,,,,,GRCM,RC,C
Grilled Royal Chicken BBQ,Royal Chicken,Chicken,,,,,GRCB,RC,C
4-piece Grilled Royal Chicken Small,Royal Chicken,Chicken,,,,,4GRCS,RC,C
6-piece Grilled Royal Chicken Small,Royal Chicken,Chicken,,,,,6GRCS,RC,C
4-piece Grilled Royal Chicken Medium,Royal Chicken,Chicken,,,,,4GRCM,RC,C
6-piece Grilled Royal Chicken Medium,Royal Chicken,Chicken,,,,,6GRCM,RC,C
4-piece Grilled Royal Chicken Large,Royal Chicken,Chicken,,,,,4GRCL,RC,C
6-piece Grilled Royal Chicken Large,Royal Chicken,Chicken,,,,,6GRCL,RC,C
Original Chicken Royale,Chicken Royale,Chicken,,,,,OCR,CR,C
Original Chicken Royale Small,Chicken Royale,Chicken,,,,,OCRS,CR,C
Original Chicken Royale Medium,Chicken Royale,Chicken,,,,,OCRM,CR,C
Original Chicken Royale Large,Chicken Royale,Chicken,,,,,OCRL,CR,C
Original Chicken Royale Extra Large,Chicken Royale,Chicken,,,,,OCREL,CR,C
Original Chicken Royale King Size,Chicken Royale,Chicken,,,,,OCRKS,CR,C
Original Chicken Royale Family Size,Chicken Royale,Chicken,,,,,OCRFS,CR,C
4-piece Original Chicken Royale,Chicken Royale,Chicken,,,,,4OCR,CR,C
6-piece Original Chicken Royale,Chicken Royale,Chicken,,,,,6OCR,CR,C
8-piece Original Chicken Royale,Chicken Royale,Chicken,,,,,8OCR,CR,C
10-piece Original Chicken Royale,Chicken Royale,Chicken,,,,,1OCR,CR,C
12-piece Original Chicken Royale,Chicken Royale,Chicken,,,,,1OCR,CR,C
15-piece Original Chicken Royale,Chicken Royale,Chicken,,,,,1OCR,CR,C
20-piece Original Chicken Royale,Chicken Royale,Chicken,,,,,2OCR,CR,C
Original Chicken Royale Combo,Chicken Royale,Chicken,,,,,OCRC,CR,C
Original Chicken Royale Value Meal,Chicken Royale,Chicken,,,,,OCRVM,CR,C
Original Chicken Royale Deluxe Meal,Chicken Royale,Chicken,,,,,OCRDM,CR,C
Original Chicken Royale Family Meal,Chicken Royale,Chicken,,,,,OCRFM,CR,C
Grilled Original Chicken Royale,Chicken Royale,Chicken,,,,,GOCR,CR,C
Fried Original Chicken Royale,Chicken Royale,Chicken,,,,,FOCR,CR,C
Baked Original Chicken Royale,Chicken Royale,Chicken,,,,,BOCR,CR,C
Fresh Original Chicken Royale,Chicken Royale,Chicken,,,,,FOCR,CR,C
Original Chicken Royale Extra Crispy,Chicken Royale,Chicken,,,,,OCREC,CR,C
Original Chicken Royale No Mayo,Chicken Royale,Chicken,,,,,OCRNM,CR,C
Original Chicken Royale Extra Cheese,Chicken Royale,Chicken,,,,,OCREC,CR,C
Original Chicken Royale Spicy,Chicken Royale,Chicken,,,,,OCRS,CR,C
Original Chicken Royale Mild,Chicken Royale,Chicken,,,,,OCRM,CR,C
Original Chicken Royale BBQ,Chicken Royale,Chicken,,,,,OCRB,CR,C
4-piece Original Chicken Royale Small,Chicken Royale,Chicken,,,,,4OCRS,CR,C
6-piece Original Chicken Royale Small,Chicken Royale,Chicken,,,,,6OCRS,CR,C
4-piece Original Chicken Royale Medium,Chicken Royale,Chicken,,,,,4OCRM,CR,C
6-piece Original Chicken Royale Medium,Chicken Royale,Chicken,,,,,6OCRM,CR,C
4-piece Original Chicken Royale Large,Chicken Royale,Chicken,,,,,4OCRL,CR,C
6-piece Original Chicken Royale Large,Chicken Royale,Chicken,,,,,6OCRL,CR,C
Spicy Chicken Royale,Chicken Royale,Chicken,,,,,SCR,CR,C
Spicy Chicken Royale Small,Chicken Royale,Chicken,,,,,SCRS,CR,C
Spicy Chicken Royale Medium,Chicken Royale,Chicken,,,,,SCRM,CR,C
Spicy Chicken Royale Large,Chicken Royale,Chicken,,,,,SCRL,CR,C
Spicy Chicken Royale Extra Large,Chicken Royale,Chicken,,,,,SCREL,CR,C
Spicy Chicken Royale King Size,Chicken Royale,Chicken,,,,,SCRKS,CR,C
Spicy Chicken Royale Family Size,Chicken Royale,Chicken,,,,,SCRFS,CR,C
4-piece Spicy Chicken Royale,Chicken Royale,Chicken,,,,,4SCR,CR,C
6-piece Spicy Chicken Royale,Chicken Royale,Chicken,,,,,6SCR,CR,C
8-piece Spicy Chicken Royale,Chicken Royale,Chicken,,,,,8SCR,CR,C
10-piece Spicy Chicken Royale,Chicken Royale,Chicken,,,,,1SCR,CR,C
12-piece Spicy Chicken Royale,Chicken Royale,Chicken,,,,,1SCR,CR,C
15-piece Spicy Chicken Royale,Chicken Royale,Chicken,,,,,1SCR,CR,C
20-piece Spicy Chicken Royale,Chicken Royale,Chicken,,,,,2SCR,CR,C
Spicy Chicken Royale Combo,Chicken Royale,Chicken,,,,,SCRC,CR,C
Spicy Chicken Royale Value Meal,Chicken Royale,Chicken,,,,,SCRVM,CR,C
Spicy Chicken Royale Deluxe Meal,Chicken Royale,Chicken,,,,,SCRDM,CR,C
Spicy Chicken Royale Family Meal,Chicken Royale,Chicken,,,,,SCRFM,CR,C
Grilled Spicy Chicken Royale,Chicken Royale,Chicken,,,,,GSCR,CR,C
Fried Spicy Chicken Royale,Chicken Royale,Chicken,,,,,FSCR,CR,C
Baked Spicy Chicken Royale,Chicken Royale,Chicken,,,,,BSCR,CR,C
Fresh Spicy Chicken Royale,Chicken Royale,Chicken,,,,,FSCR,CR,C
Spicy Chicken Royale Extra Crispy,Chicken Royale,Chicken,,,,,SCREC,CR,C
Spicy Chicken Royale No Mayo,Chicken Royale,Chicken,,,,,SCRNM,CR,C
Spicy Chicken Royale Extra Cheese,Chicken Royale,Chicken,,,,,SCREC,CR,C
Spicy Chicken Royale Spicy,Chicken Royale,Chicken,,,,,SCRS,CR,C
Spicy Chicken Royale Mild,Chicken Royale,Chicken,,,,,SCRM,CR,C
Spicy Chicken Royale BBQ,Chicken Royale,Chicken,,,,,SCRB,CR,C
4-piece Spicy Chicken Royale Small,Chicken Royale,Chicken,,,,,4SCRS,CR,C
6-piece Spicy Chicken Royale Small,Chicken Royale,Chicken,,,,,6SCRS,CR,C
4-piece Spicy Chicken Royale Medium,Chicken Royale,Chicken,,,,,4SCRM,CR,C
6-piece Spicy Chicken Royale Medium,Chicken Royale,Chicken,,,,,6SCRM,CR,C
4-piece Spicy Chicken Royale Large,Chicken Royale,Chicken,,,,,4SCRL,CR,C
6-piece Spicy Chicken Royale Large,Chicken Royale,Chicken,,,,,6SCRL,CR,C
Original Chicken Fries,Chicken Fries,Chicken,,,,,OCF,CF,C
Original Chicken Fries Small,Chicken Fries,Chicken,,,,,OCFS,CF,C
Original Chicken Fries Medium,Chicken Fries,Chicken,,,,,OCFM,CF,C
Original Chicken Fries Large,Chicken Fries,Chicken,,,,,OCFL,CF,C
Original Chicken Fries Extra Large,Chicken Fries,Chicken,,,,,OCFEL,CF,C
Original Chicken Fries King Size,Chicken Fries,Chicken,,,,,OCFKS,CF,C
Original Chicken Fries Family Size,Chicken Fries,Chicken,,,,,OCFFS,CF,C
4-piece Original Chicken Fries,Chicken Fries,Chicken,,,,,4OCF,CF,C
6-piece Original Chicken Fries,Chicken Fries,Chicken,,,,,6OCF,CF,C
8-piece Original Chicken Fries,Chicken Fries,Chicken,,,,,8OCF,CF,C
10-piece Original Chicken Fries,Chicken Fries,Chicken,,,,,1OCF,CF,C
12-piece Original Chicken Fries,Chicken Fries,Chicken,,,,,1OCF,CF,C
15-piece Original Chicken Fries,Chicken Fries,Chicken,,,,,1OCF,CF,C
20-piece Original Chicken Fries,Chicken Fries,Chicken,,,,,2OCF,CF,C
Original Chicken Fries Combo,Chicken Fries,Chicken,,,,,OCFC,CF,C
Original Chicken Fries Value Meal,Chicken Fries,Chicken,,,,,OCFVM,CF,C
Original Chicken Fries Deluxe Meal,Chicken Fries,Chicken,,,,,OCFDM,CF,C
Original Chicken Fries Family Meal,Chicken Fries,Chicken,,,,,OCFFM,CF,C
Grilled Original Chicken Fries,Chicken Fries,Chicken,,,,,GOCF,CF,C
Fried Original Chicken Fries,Chicken Fries,Chicken,,,,,FOCF,CF,C
Baked Original Chicken Fries,Chicken Fries,Chicken,,,,,BOCF,CF,C
Fresh Original Chicken Fries,Chicken Fries,Chicken,,,,,FOCF,CF,C
Original Chicken Fries Extra Crispy,Chicken Fries,Chicken,,,,,OCFEC,CF,C
Original Chicken Fries No Mayo,Chicken Fries,Chicken,,,,,OCFNM,CF,C
Original Chicken Fries Extra Cheese,Chicken Fries,Chicken,,,,,OCFEC,CF,C
Original Chicken Fries Spicy,Chicken Fries,Chicken,,,,,OCFS,CF,C
Original Chicken Fries Mild,Chicken Fries,Chicken,,,,,OCFM,CF,C
Original Chicken Fries BBQ,Chicken Fries,Chicken,,,,,OCFB,CF,C
4-piece Original Chicken Fries Small,Chicken Fries,Chicken,,,,,4OCFS,CF,C
6-piece Original Chicken Fries Small,Chicken Fries,Chicken,,,,,6OCFS,CF,C
4-piece Original Chicken Fries Medium,Chicken Fries,Chicken,,,,,4OCFM,CF,C
6-piece Original Chicken Fries Medium,Chicken Fries,Chicken,,,,,6OCFM,CF,C
4-piece Original Chicken Fries Large,Chicken Fries,Chicken,,,,,4OCFL,CF,C
6-piece Original Chicken Fries Large,Chicken Fries,Chicken,,,,,6OCFL,CF,C
Buffalo Chicken Fries,Chicken Fries,Chicken,,,,,BCF,CF,C
Buffalo Chicken Fries Small,Chicken Fries,Chicken,,,,,BCFS,CF,C
Buffalo Chicken Fries Medium,Chicken Fries,Chicken,,,,,BCFM,CF,C
Buffalo Chicken Fries Large,Chicken Fries,Chicken,,,,,BCFL,CF,C
Buffalo Chicken Fries Extra Large,Chicken Fries,Chicken,,,,,BCFEL,CF,C
Buffalo Chicken Fries King Size,Chicken Fries,Chicken,,,,,BCFKS,CF,C
Buffalo Chicken Fries Family Size,Chicken Fries,Chicken,,,,,BCFFS,CF,C
4-piece Buffalo Chicken Fries,Chicken Fries,Chicken,,,,,4BCF,CF,C
6-piece Buffalo Chicken Fries,Chicken Fries,Chicken,,,,,6BCF,CF,C
8-piece Buffalo Chicken Fries,Chicken Fries,Chicken,,,,,8BCF,CF,C
10-piece Buffalo Chicken Fries,Chicken Fries,Chicken,,,,,1BCF,CF,C
12-piece Buffalo Chicken Fries,Chicken Fries,Chicken,,,,,1BCF,CF,C
15-piece Buffalo Chicken Fries,Chicken Fries,Chicken,,,,,1BCF,CF,C
20-piece Buffalo Chicken Fries,Chicken Fries,Chicken,,,,,2BCF,CF,C
Buffalo Chicken Fries Combo,Chicken Fries,Chicken,,,,,BCFC,CF,C
Buffalo Chicken Fries Value Meal,Chicken Fries,Chicken,,,,,BCFVM,CF,C
Buffalo Chicken Fries Deluxe Meal,Chicken Fries,Chicken,,,,,BCFDM,CF,C
Buffalo Chicken Fries Family Meal,Chicken Fries,Chicken,,,,,BCFFM,CF,C
Grilled Buffalo Chicken Fries,Chicken Fries,Chicken,,,,,GBCF,CF,C
Fried Buffalo Chicken Fries,Chicken Fries,Chicken,,,,,FBCF,CF,C
Baked Buffalo Chicken Fries,Chicken Fries,Chicken,,,,,BBCF,CF,C
Fresh Buffalo Chicken Fries,Chicken Fries,Chicken,,,,,FBCF,CF,C
Buffalo Chicken Fries Extra Crispy,Chicken Fries,Chicken,,,,,BCFEC,CF,C
Buffalo Chicken Fries No Mayo,Chicken Fries,Chicken,,,,,BCFNM,CF,C
Buffalo Chicken Fries Extra Cheese,Chicken Fries,Chicken,,,,,BCFEC,CF,C
Buffalo Chicken Fries Spicy,Chicken Fries,Chicken,,,,,BCFS,CF,C
Buffalo Chicken Fries Mild,Chicken Fries,Chicken,,,,,BCFM,CF,C
Buffalo Chicken Fries BBQ,Chicken Fries,Chicken,,,,,BCFB,CF,C
4-piece Buffalo Chicken Fries Small,Chicken Fries,Chicken,,,,,4BCFS,CF,C
6-piece Buffalo Chicken Fries Small,Chicken Fries,Chicken,,,,,6BCFS,CF,C
4-piece Buffalo Chicken Fries Medium,Chicken Fries,Chicken,,,,,4BCFM,CF,C
6-piece Buffalo Chicken Fries Medium,Chicken Fries,Chicken,,,,,6BCFM,CF,C
4-piece Buffalo Chicken Fries Large,Chicken Fries,Chicken,,,,,4BCFL,CF,C
6-piece Buffalo Chicken Fries Large,Chicken Fries,Chicken,,,,,6BCFL,CF,C
Fiery Chicken Fries,Chicken Fries,Chicken,,,,,FCF,CF,C
Fiery Chicken Fries Small,Chicken Fries,Chicken,,,,,FCFS,CF,C
Fiery Chicken Fries Medium,Chicken Fries,Chicken,,,,,FCFM,CF,C
